Adresse,Post nr.,Pris,År,Størrelse (m2),Værelser,Toiletter,Handel
Bodil Neergård Vænget 35,"Søhus, 5270 Odense N",2195000.0,2022,101,4,2,Fri handel
Tingskiftet 33,"Søhus, 5270 Odense N",1600000.0,2022,101,4,1,Fri handel
Hjulets Kvarter 333,"Holluf Pile, 5220 Odense SØ",2365000.0,2022,112,4,2,Fri handel
Freysvænget 7,"Bolbro, 5200 Odense V",2470000.0,2022,144,5,1,Fri handel
Holstedvej 36,"Bolbro, 5200 Odense V",950000.0,2022,100,4,1,Fri handel
Bøgesangervænget 29,"Snestrup, 5210 Odense NV",3540000.0,2022,186,6,2,Fri handel
Brolandvej 101B,"Agedrup, 5320 Agedrup",1500000.0,2022,150,3,2,Fri handel
Rulkehøjen 22,"Hjallese, 5260 Odense S",2595000.0,2022,133,5,2,Fri handel
Rugårdsvej 299B,"Villestofte, 5210 Odense NV",4500000.0,2022,127,4,1,Fri handel
Sønderdalen 26,"Skt Klemens, 5260 Odense S",1595000.0,2022,111,4,1,Fri handel
"Buchwaldsgade 4, 2. tv.",5000 Odense C,1070000.0,2022,56,2,1,Fri handel
Rugårdsvej 299,"Villestofte, 5210 Odense NV",4500000.0,2022,202,4,2,Fri handel
Hvidkildevænget 15,5230 Odense M,3150000.0,2022,121,4,2,Fri handel
Kochsgade 54,5000 Odense C,2499000.0,2022,124,5,1,Fri handel
"Fabersgade 19, 2.",5000 Odense C,1560000.0,2022,70,3,1,Fri handel
Kochsgade 143,5000 Odense C,1710000.0,2022,85,3,1,Fri handel
Majas Allé 14,"Dalum, 5250 Odense SV",5445000.0,2022,130,8,1,Fri handel
Søhusvænget 13,"Søhus, 5270 Odense N",3500000.0,2022,139,5,2,Fri handel
Dronning Olgas Vej 12,5000 Odense C,4575000.0,2022,160,6,2,Fri handel
Grønvej 6,"Stenløse, 5260 Odense S",1850000.0,2022,180,7,2,Fri handel
Højby Allé 11,"Højby, 5260 Odense S",1550000.0,2022,89,3,1,Fri handel
Ellekratvej 10,"Ejlstrup, 5200 Odense V",1520000.0,2022,90,4,1,Fri handel
"Østre Stationsvej 41B, 1.",5000 Odense C,4710000.0,2022,201,4,2,Fri handel
Æblevænget 1D,"Ejlstrup, 5200 Odense V",1250000.0,2022,80,3,1,Fri handel
Rolighedsvej 32,"Davinde, 5220 Odense SØ",7000000.0,2022,180,5,1,Fri handel
"Middelfartvej 54, 2. th.","Bolbro, 5200 Odense V",1635000.0,2022,94,4,1,Fri handel
Æblevænget 1B,"Ejlstrup, 5200 Odense V",1250000.0,2022,80,3,1,Fri handel
Æblevænget 1A,"Ejlstrup, 5200 Odense V",1250000.0,2022,80,3,1,Fri handel
Rolighedsvej 2,"Davinde, 5220 Odense SØ",7000000.0,2022,227,7,1,Fri handel
Højvang 225,"Næsby, 5270 Odense N",1995000.0,2022,95,4,2,Fri handel
Æblevænget 1C,"Ejlstrup, 5200 Odense V",1250000.0,2022,80,3,1,Fri handel
H.P. Simonsens Allé 32,"Sanderum, 5250 Odense SV",2400000.0,2022,147,5,2,Fri handel
Lindvedparken 34B,"Lindved, 5260 Odense S",650000.0,2022,37,1,1,Fri handel
Tværvej 8,"Seden, 5240 Odense NØ",1450000.0,2022,134,4,1,Fri handel
Windelsvej 15,5000 Odense C,4200000.0,2022,113,5,3,Fri handel
Møllemarksvej 26,"Bolbro, 5200 Odense V",2495000.0,2022,104,4,1,Fri handel
"Dronningensgade 22B, 1.",5000 Odense C,1455000.0,2022,73,2,1,Fri handel
Stentevangen 8,"Korup, 5210 Odense NV",1400000.0,2022,86,3,1,Fri handel
Glamsbjergvænget 1,5230 Odense M,2250000.0,2022,91,4,3,Fri handel
Chr. Sonnes Vej 22,5230 Odense M,5700000.0,2022,200,6,1,Fri handel
"Rødegårdsvej 63, st. tv.",5000 Odense C,1400000.0,2022,64,2,1,Fri handel
Bernstorffsvej 38,5000 Odense C,5495000.0,2022,139,5,2,Fri handel
Rådyrvej 32,"Slukefter, 5210 Odense NV",1395000.0,2022,92,4,1,Fri handel
Åbrinken 21,5220 Odense SØ,4950000.0,2022,204,5,2,Fri handel
Tranehøjen 364,"Dyrup, 5250 Odense SV",1995000.0,2022,181,9,2,Fri handel
Ørbækvej 734,"Birkum, 5220 Odense SØ",910000.0,2022,136,5,2,Fri handel
"Promenadebyen 2, 1. 3.",5000 Odense C,4750000.0,2022,146,4,1,Fri handel
Margrethes Allé 2,"Dalum, 5250 Odense SV",3995000.0,2022,116,4,1,Fri handel
Nr. Lyndelse Vej 17A,"Højby, 5260 Odense S",50000.0,2022,322,8,3,Fri handel
Møllevangen 6,"Skt Klemens, 5260 Odense S",2725000.0,2022,137,4,2,Fri handel
Enggade 14,5000 Odense C,2550000.0,2022,127,4,2,Fri handel
Skrænten 26,"Næsby, 5270 Odense N",1960000.0,2022,101,4,1,Fri handel
Seden Birkevej 15,"Seden, 5240 Odense NØ",1800000.0,2022,169,4,2,Fri handel
Præstevej 61,"Korup, 5210 Odense NV",1290000.0,2022,100,4,2,Fri handel
Nr. Lyndelse Vej 17B,"Højby, 5260 Odense S",50000.0,2022,120,2,1,Fri handel
Præstegårdsvænget 45,"Tarup, 5210 Odense NV",2100000.0,2022,98,4,1,Fri handel
Egelykkevej 7,"Hjallese, 5260 Odense S",2100000.0,2022,137,5,2,Fri handel
Svanevej 20,5000 Odense C,3325000.0,2022,135,4,3,Fri handel
Lille Rugbjerg Vej 19,"Anderup, 5270 Odense N",1875000.0,2022,100,4,1,Fri handel
Carl Lunds Vej 53,5000 Odense C,2200000.0,2022,104,5,1,Fri handel
Vermehrensvej 24,5230 Odense M,2725000.0,2022,112,6,1,Fri handel
Søhusvej 164,"Kirkendrup, 5270 Odense N",1470000.0,2022,90,4,2,Fri handel
Ørnevej 118,"Snestrup, 5210 Odense NV",2050000.0,2022,129,4,1,Fri handel
"Østre Stationsvej 39A, st. 2.",5000 Odense C,1450000.0,2022,55,1,1,Fri handel
Tuemosevej 40,"Fangel, 5260 Odense S",350000.0,2022,216,5,2,Fri handel
"Rugårdsvej 30, 1. th.",5000 Odense C,2350000.0,2022,84,3,1,Fri handel
Fangel Bygade 20,"Fangel, 5260 Odense S",2950000.0,2022,186,4,2,Fri handel
"Skt. Hans Gade 32, 1.",5000 Odense C,1690000.0,2022,78,3,1,Fri handel
Rødegårdsvænget 9,5230 Odense M,2000000.0,2022,91,3,1,Fri handel
Vårlyngen 25,"Stige, 5270 Odense N",1550000.0,2022,110,4,2,Fri handel
Søparken 117,"Hjallese, 5260 Odense S",3160000.0,2022,129,3,2,Fri handel
"Grønlandsgade 24A, 2.",5000 Odense C,1200000.0,2022,56,2,1,Fri handel
"Sdr. Boulevard 194, 2. tv.",5000 Odense C,1400000.0,2022,51,2,1,Fri handel
Valnøddevej 47,"Stige, 5270 Odense N",1155000.0,2022,77,3,2,Fri handel
"Floravænget 25, st. th.","Dalum, 5250 Odense SV",1500000.0,2022,79,3,1,Fri handel
Rypebakken 8,"Snestrup, 5210 Odense NV",3675000.0,2022,126,4,2,Fri handel
Roers Allé 29,"Tarup, 5210 Odense NV",1645000.0,2022,88,3,1,Fri handel
Klokkens Kvarter 123,"Holluf Pile, 5220 Odense SØ",2200000.0,2022,137,5,2,Fri handel
Skt. Hans Gade 57,5000 Odense C,3615000.0,2022,112,5,1,Fri handel
Nyhavevej 124,"Davinde, 5220 Odense SØ",2595000.0,2022,182,4,1,Fri handel
"Thuresensgade 35, 1. th.",5000 Odense C,1225000.0,2022,58,2,1,Fri handel
"Ejbygade 12, st. th.",5220 Odense SØ,2100000.0,2022,134,5,1,Fri handel
"Guldbergsvej 8, 3. th.",5000 Odense C,1995000.0,2022,76,3,1,Fri handel
Bogensevej 419,"Næsbyhoved-Broby, 5270 Odense N",1825000.0,2022,212,6,2,Fri handel
"Sadolinsgade 90, 1.",5230 Odense M,2850000.0,2022,119,4,1,Fri handel
Ugletoften 63,"Højby, 5260 Odense S",1795000.0,2022,114,5,1,Fri handel
Rugmarken 18,"Hjallese, 5260 Odense S",2495000.0,2022,109,4,2,Fri handel
Svendsagervej 61,"Seden, 5240 Odense NØ",2500000.0,2022,358,17,1,Fri handel
Anderuplunden 129,"Anderup, 5270 Odense N",1295000.0,2022,65,3,1,Fri handel
Fredskovvej 103,"Allesø, 5270 Odense N",2700000.0,2022,227,6,1,Fri handel
Brolandvej 10C,"Bullerup, 5320 Agedrup",2335000.0,2022,130,5,2,Fri handel
Bodil Neergård Vænget 4,"Søhus, 5270 Odense N",1970000.0,2022,85,4,1,Fri handel
"Sadolinsgade 90, st.",5230 Odense M,2850000.0,2022,123,4,1,Fri handel
Saxovænget 1,"Højstrup, 5210 Odense NV",1400000.0,2022,119,4,1,Fri handel
Astrupvej 25B,5000 Odense C,1745000.0,2022,69,3,1,Fri handel
Svendborgvej 38D,"Hjallese, 5260 Odense S",2650000.0,2022,127,4,2,Fri handel
Christiansgade 66,5000 Odense C,4400000.0,2022,110,5,2,Fri handel
"Holsedore 18, 2. 4.",5000 Odense C,2650000.0,2022,78,2,1,Fri handel
Dragebakken 133,"Sanderum, 5250 Odense SV",2028000.0,2022,84,4,1,Fri handel
Gyldenhøjen 29,"Stenløse, 5260 Odense S",3645000.0,2022,210,5,2,Fri handel
"Rødegårdsvej 63, 2. tv.",5000 Odense C,1635000.0,2022,64,2,1,Fri handel
Vægtens Kvarter 59,"Holluf Pile, 5220 Odense SØ",1920000.0,2022,112,5,2,Fri handel
Skolevej 15,"Næsby, 5270 Odense N",3850000.0,2022,133,5,2,Fri handel
Halfdansvænget 2,"Højstrup, 5210 Odense NV",2575000.0,2022,116,4,2,Fri handel
"Rosenørnsvej 43, 1. th.",5230 Odense M,1325000.0,2022,58,2,1,Fri handel
Mosegårdsvej 37,5000 Odense C,2850000.0,2022,205,5,2,Fri handel
Ejby Kirkevej 46,5220 Odense SØ,1225000.0,2022,83,6,2,Fri handel
Svenstrupvej 42,"Skt Klemens, 5260 Odense S",2300000.0,2022,186,12,2,Fri handel
Ådalsvej 293,"Dyrup, 5250 Odense SV",3011000.0,2022,160,4,2,Fri handel
Troelsevej 165,"Troelse, 5491 Blommenslyst",1633000.0,2022,242,6,2,Fri handel
Thujavej 1,"Dyrup, 5250 Odense SV",3500000.0,2022,169,6,2,Fri handel
Lindevej 41B,"Dalum, 5250 Odense SV",4550000.0,2022,175,7,2,Fri handel
"Marienlystvej 50, st. th.",5000 Odense C,1275000.0,2022,56,2,1,Fri handel
"Allégade 19, 1.",5000 Odense C,2100000.0,2022,88,3,1,Fri handel
Gyldenhusvej 19,"Stenløse, 5260 Odense S",3950000.0,2022,168,5,2,Fri handel
Skibhusvej 421,5000 Odense C,2025000.0,2022,100,2,1,Fri handel
"Kochsgade 38, st.",5000 Odense C,1700000.0,2022,72,2,1,Fri handel
"Floravænget 82, st.","Dalum, 5250 Odense SV",700000.0,2022,60,2,1,Fri handel
Saxovej 208,"Højstrup, 5210 Odense NV",1620000.0,2022,78,4,1,Fri handel
Mejerivej 38,"Hjallese, 5260 Odense S",2200000.0,2022,113,4,1,Fri handel
Præstegårdsvænget 4,"Tarup, 5210 Odense NV",1850000.0,2022,98,5,1,Fri handel
Hesbjergvænget 1,5230 Odense M,2300000.0,2022,92,4,1,Fri handel
"Æbleparken 12, st.","Søhus, 5270 Odense N",714500.0,2022,59,2,1,Fri handel
Næsbyhave 94,"Næsby, 5270 Odense N",1200000.0,2022,95,4,1,Fri handel
"Munkebjergvej 59, st.",5000 Odense C,3285000.0,2022,90,3,1,Fri handel
Hjejlebakken 156,"Snestrup, 5210 Odense NV",2475000.0,2022,131,5,2,Fri handel
"Faaborgvej 137, st.","Sanderum, 5250 Odense SV",3000000.0,2022,81,3,1,Fri handel
"Faaborgvej 137, 1.","Sanderum, 5250 Odense SV",3000000.0,2022,70,3,1,Fri handel
Østparken 49,"Fraugde, 5220 Odense SØ",2195000.0,2022,140,5,1,Fri handel
Østparken 49,"Fraugde, 5220 Odense SØ",2195000.0,2022,140,5,1,Fri handel
Edvard Weies Vænge 6,5220 Odense SØ,1745000.0,2022,89,4,1,Fri handel
"Buchwaldsgade 61E, 2. th.",5000 Odense C,1450000.0,2022,55,2,1,Fri handel
"Munkebjergvej 59, 1.",5000 Odense C,3285000.0,2022,145,5,1,Fri handel
"Pantheonsgade 4, 2. 16.",5000 Odense C,3125000.0,2022,126,4,1,Fri handel
Flintagergårdvej 52D,"Bellinge, 5250 Odense SV",5250000.0,2022,160,5,2,Fri handel
Krogen 1,"Seden, 5240 Odense NØ",810000.0,2022,53,2,1,Fri handel
"Østre Stationsvej 37L, 2. 2.",5000 Odense C,2040000.0,2022,82,2,1,Fri handel
"Kochsgade 106, st.",5000 Odense C,1500000.0,2022,66,3,1,Fri handel
"Promenadebyen 8, 4. tv.",5000 Odense C,1827500.0,2022,129,3,1,Fri handel
Kronhjortløkken 214,"Korup, 5210 Odense NV",1595000.0,2022,140,5,2,Fri handel
"Kochsgade 106, 1.",5000 Odense C,1500000.0,2022,50,2,1,Fri handel
"Klosterbakken 8A, 3.",5000 Odense C,11000000.0,2022,267,5,2,Fri handel
Egebæksvej 4,5000 Odense C,3500000.0,2022,126,5,1,Fri handel
Langelinie 162,5230 Odense M,6000000.0,2022,292,6,2,Fri handel
Bakketoppen 60,"Bellinge, 5250 Odense SV",38100000.0,2022,109,4,1,Fri handel
"Gyldenløvesgade 8, 3. th.",5000 Odense C,1700000.0,2022,73,2,1,Fri handel
"Floravænget 13, 1. mf.","Dalum, 5250 Odense SV",660000.0,2022,43,1,1,Fri handel
Thorkildsgade 33,5000 Odense C,3950000.0,2022,150,5,1,Fri handel
Thorkildsgade 15,5000 Odense C,3030000.0,2022,125,5,3,Fri handel
Klokkens Kvarter 249B,"Holluf Pile, 5220 Odense SØ",1475000.0,2022,63,3,1,Fri handel
"Gyldenløvesgade 13, 2. tv.",5000 Odense C,1675000.0,2022,65,2,1,Fri handel
"Guldbergsvej 12, 2. tv.",5000 Odense C,3475000.0,2022,94,4,1,Fri handel
Tornmarksvej 2,"Vejrup, 5491 Blommenslyst",715000.0,2022,187,6,3,Fri handel
Torpvej 6,"Hjallese, 5260 Odense S",2230000.0,2022,127,4,1,Fri handel
"Nørregade 22, 2.",5000 Odense C,1800000.0,2022,84,3,1,Fri handel
"Sdr. Boulevard 292, 1.",5000 Odense C,2795000.0,2022,71,3,1,Fri handel
"Sdr. Boulevard 292, st.",5000 Odense C,2795000.0,2022,71,3,1,Fri handel
Klokkens Kvarter 173,"Holluf Pile, 5220 Odense SØ",1500000.0,2022,75,2,1,Fri handel
Ejlstrupvej 66,5200 Odense V,1600000.0,2022,80,3,1,Fri handel
"Læssøegade 14, 2. th.",5000 Odense C,2525000.0,2022,90,3,1,Fri handel
Tranevej 35,5000 Odense C,3350000.0,2022,131,4,1,Fri handel
"Hørdumsgade 25, 3. th.",5000 Odense C,1375000.0,2022,65,2,1,Fri handel
Krogsløkkeparken 19,"Seden, 5240 Odense NØ",1895000.0,2022,110,3,1,Fri handel
Dyrhøjvej 25,5230 Odense M,4655000.0,2022,144,6,2,Fri handel
Nordskovvej 16,5230 Odense M,3295000.0,2022,127,9,2,Fri handel
Aulkærvænget 24,"Højby, 5260 Odense S",3080000.0,2022,147,4,2,Fri handel
Skolevej 41,"Næsby, 5270 Odense N",4345000.0,2022,151,5,2,Fri handel
Siøvænget 8,5000 Odense C,2700000.0,2022,98,4,1,Fri handel
"Æbleparken 104, st.","Søhus, 5270 Odense N",670000.0,2022,59,2,1,Fri handel
Nøddehaven 2,"Bullerup, 5320 Agedrup",1625000.0,2022,135,4,1,Fri handel
Thorsgade 50,5000 Odense C,3902500.0,2022,167,9,2,Fri handel
Store Klaus 81,"Næsby, 5270 Odense N",3095000.0,2022,145,5,2,Fri handel
Vissenbjergvej 20,5230 Odense M,2775000.0,2022,121,4,1,Fri handel
"Promenadebyen 30, 4. 2.",5000 Odense C,2195000.0,2022,62,2,1,Fri handel
Faaborgvej 90E,"Dalum, 5250 Odense SV",1750000.0,2022,72,2,1,Fri handel
"Nørregade 26, 1.",5000 Odense C,1900000.0,2022,73,3,1,Fri handel
Skt. Jørgens Gade 190,5000 Odense C,2400000.0,2022,133,5,1,Fri handel
Rådyrløkken 83,"Slukefter, 5210 Odense NV",2249000.0,2022,166,6,1,Fri handel
Sanderumvej 211,"Sanderum, 5250 Odense SV",4150000.0,2022,229,6,1,Fri handel
Njalsvej 184,"Højstrup, 5210 Odense NV",1095000.0,2022,78,4,1,Fri handel
H.J. Poulsens Allé 15,"Sanderum, 5250 Odense SV",2895000.0,2022,109,4,1,Fri handel
Persillehaven 41,"Bullerup, 5320 Agedrup",900000.0,2022,165,5,2,Fri handel
Vibekevej 23,"Dyrup, 5250 Odense SV",3710000.0,2022,142,5,2,Fri handel
Thorsgade 57,5000 Odense C,3775000.0,2022,126,4,2,Fri handel
Lungstedløkken 35,"Bellinge, 5250 Odense SV",2450000.0,2022,148,4,2,Fri handel
Spurvelundsvej 48,"Næsbyhoved-Broby, 5270 Odense N",2000000.0,2022,168,5,1,Fri handel
Egelykkevej 15,"Hjallese, 5260 Odense S",2600000.0,2022,178,6,2,Fri handel
"Thuresensgade 8, st. th.",5000 Odense C,1575000.0,2022,57,2,1,Fri handel
Store Klaus 61,"Næsby, 5270 Odense N",3575000.0,2022,173,5,2,Fri handel
Virkensbjerget 48,"Sanderum, 5250 Odense SV",2360000.0,2022,137,6,3,Fri handel
"Fengersvej 5, 2.",5230 Odense M,2045000.0,2022,82,3,1,Fri handel
Persillehaven 77,"Bullerup, 5320 Agedrup",850000.0,2022,181,5,2,Fri handel
Slørhatten 40,"Tornbjerg, 5220 Odense SØ",1035000.0,2022,92,3,1,Fri handel
Lungstedvangen 104,"Bellinge, 5250 Odense SV",3250000.0,2022,176,4,2,Fri handel
Strandager 188,"Lumby, 5270 Odense N",623116.0,2022,180,4,1,Fri handel
Skt. Hans Gade 8,5000 Odense C,2950000.0,2022,138,4,1,Fri handel
Birkum Bygade 15,"Birkum, 5220 Odense SØ",2000000.0,2022,276,9,3,Fri handel
"Kochsgade 8, 2. tv.",5000 Odense C,1725000.0,2022,75,2,1,Fri handel
Ilnabgyden 30,"Lumby, 5270 Odense N",377265.0,2022,136,5,2,Fri handel
Lindeskovhaven 14,"Højby, 5260 Odense S",1150000.0,2022,186,6,2,Fri handel
Anderupvænget 65,"Anderup, 5270 Odense N",2160000.0,2022,171,5,2,Fri handel
Gammel Højmevej 247,"Bellinge, 5250 Odense SV",970000.0,2022,143,5,1,Fri handel
Poppelvej 45,5230 Odense M,5350000.0,2022,200,8,3,Fri handel
Næsby Skovvænge 23,"Næsby, 5270 Odense N",4590000.0,2022,171,5,2,Fri handel
"Hørdumsgade 23A, kl.",5000 Odense C,700000.0,2022,71,2,1,Fri handel
Thorkildsgade 34,5000 Odense C,3425000.0,2022,153,5,2,Fri handel
Bjerggårdsvinget 13,"Seden, 5240 Odense NØ",2800500.0,2022,145,4,2,Fri handel
Vibekevej 21,"Dyrup, 5250 Odense SV",2300000.0,2022,118,4,2,Fri handel
Lotusvej 51,"Sanderum, 5250 Odense SV",2551000.0,2022,121,4,2,Fri handel
Åsumvej 259,5240 Odense NØ,2545000.0,2022,127,4,2,Fri handel
Borsvinget 21H,"Bullerup, 5320 Agedrup",1350000.0,2022,101,4,2,Fri handel
Elmedals Allé 34,"Dalum, 5250 Odense SV",2060000.0,2022,98,4,1,Fri handel
Østergårdsvej 2,"Vester Kærby, 5330 Munkebo",1050000.0,2022,184,8,2,Fri handel
Væbnerhatten 3,"Tornbjerg, 5220 Odense SØ",3395000.0,2022,151,5,2,Fri handel
Poppelvej 51,5230 Odense M,3495000.0,2022,106,3,2,Fri handel
Ravnebjerggyden 181,5250 Odense SV,2100000.0,2022,309,7,2,Fri handel
Hegningvej 29,"Lindved, 5260 Odense S",695000.0,2022,53,2,1,Fri handel
Lønnevænget 14,"Stige, 5270 Odense N",1635000.0,2022,95,4,1,Fri handel
Hunderupvej 120J,5230 Odense M,1675000.0,2022,49,2,1,Fri handel
Kimbrerbakken 109,"Bellinge, 5250 Odense SV",3670000.0,2022,150,5,2,Fri handel
Rydsåvej 6,"Paarup, 5210 Odense NV",2195000.0,2022,140,5,1,Fri handel
Tranehøjen 206,"Dyrup, 5250 Odense SV",1710000.0,2022,97,4,1,Fri handel
Rådyrløkken 37,"Slukefter, 5210 Odense NV",1900000.0,2022,158,5,2,Fri handel
Kastanievej 9,5230 Odense M,6500000.0,2022,269,6,3,Fri handel
Åsumvej 221,5240 Odense NØ,2210000.0,2022,127,4,2,Fri handel
Vilhelm Kyhns Vej 33,5230 Odense M,2030000.0,2022,107,3,1,Fri handel
Erholmvænget 44,5230 Odense M,2799000.0,2022,89,4,1,Fri handel
Filosofgangen 94,5000 Odense C,1816000.0,2022,63,2,1,Fri handel
Holkebjergvænget 67,"Sanderum, 5250 Odense SV",1630000.0,2022,103,4,1,Fri handel
Turkisvej 18,"Tarup, 5210 Odense NV",2395000.0,2022,130,4,2,Fri handel
Dyrupgårdvænget 86,"Dyrup, 5250 Odense SV",3100000.0,2022,139,4,2,Fri handel
Lundemosevej 28,"Seden, 5240 Odense NØ",1560000.0,2022,134,5,2,Fri handel
Søparken 54,"Hjallese, 5260 Odense S",5975000.0,2022,250,5,3,Fri handel
Tjørnevej 31,5220 Odense SØ,2595000.0,2022,91,4,2,Fri handel
"Pjentedamsgade 45, 1.",5000 Odense C,1052500.0,2022,124,3,2,Fri handel
Munkemaen 11,"Anderup, 5270 Odense N",2450000.0,2022,109,1,1,Fri handel
"Hjallesevej 117, st. th.",5230 Odense M,1775000.0,2022,105,4,1,Fri handel
Blåbærvej 4,"Hjallese, 5260 Odense S",2400000.0,2022,149,6,1,Fri handel
Højmarken 27,"Vejrup, 5491 Blommenslyst",1850000.0,2022,260,6,2,Fri handel
Arkonavej 11,5000 Odense C,2400000.0,2022,138,4,1,Fri handel
Søhusvej 110,"Kirkendrup, 5270 Odense N",3350000.0,2022,137,4,2,Fri handel
"H. Rasmussens Vej 17, 1.",5000 Odense C,1835000.0,2022,81,2,1,Fri handel
"H. Rasmussens Vej 17, st.",5000 Odense C,1835000.0,2022,95,3,1,Fri handel
L.A. Rings Vej 12,5230 Odense M,2925000.0,2022,137,5,2,Fri handel
"Odeons Kvarter 21, 7. 2.",5000 Odense C,3720000.0,2022,93,2,1,Fri handel
Chr. Lehns Vænge 8C,"Næsbyhoved-Broby, 5270 Odense N",1000000.0,2022,85,4,1,Fri handel
Morelvej 52,"Sanderum, 5250 Odense SV",2400000.0,2022,122,4,1,Fri handel
Rydsåvej 56,"Paarup, 5210 Odense NV",2245000.0,2022,136,4,2,Fri handel
Damhusvej 47B,5000 Odense C,2050000.0,2022,39,1,1,Fri handel
Thomas Overskous Vej 17,5000 Odense C,5495000.0,2022,176,6,2,Fri handel
Slørhatten 65,"Tornbjerg, 5220 Odense SØ",1725000.0,2022,84,3,1,Fri handel
Rugvang 35,"Tarup, 5210 Odense NV",5250000.0,2022,190,7,2,Fri handel
Bøgedals Allé 21,"Dalum, 5250 Odense SV",2695000.0,2022,141,5,2,Fri handel
Blåbærvej 130,"Hjallese, 5260 Odense S",1600000.0,2022,80,3,1,Fri handel
Sleppevangen 39,"Søhus, 5270 Odense N",1765000.0,2022,110,4,1,Fri handel
"H.C. Andersens Gade 27, 1.",5000 Odense C,2225000.0,2022,73,3,1,Fri handel
Enebærvænget 5,"Bellinge, 5250 Odense SV",2950000.0,2022,136,4,2,Fri handel
Hjejlebakken 136,"Snestrup, 5210 Odense NV",1700000.0,2022,114,4,1,Fri handel
Vandmøllevej 27B,"Davinde, 5220 Odense SØ",550000.0,2022,156,4,1,Fri handel
Bergthorasvej 57,"Højstrup, 5210 Odense NV",1875000.0,2022,114,4,1,Fri handel
"Vilhelminevej 6, 1. th.",5000 Odense C,1012500.0,2022,46,2,1,Fri handel
Vandmøllevej 27,"Davinde, 5220 Odense SØ",550000.0,2022,155,4,1,Fri handel
"Vestre Stationsvej 18, 2.",5000 Odense C,5600000.0,2022,63,4,1,Fri handel
Njalsvej 43,"Højstrup, 5210 Odense NV",1425000.0,2022,78,4,1,Fri handel
Hjortevej 10,"Slukefter, 5210 Odense NV",1660000.0,2022,135,4,1,Fri handel
"Krügersvej 27, 1.",5000 Odense C,4700000.0,2022,75,3,1,Fri handel
"Ejby Møllevej 17, 2.",5000 Odense C,4400000.0,2022,55,2,1,Fri handel
"Tolderlundsvej 81, 1. tv.",5000 Odense C,2170000.0,2022,87,3,1,Fri handel
"Ejby Møllevej 17, 1.",5000 Odense C,4400000.0,2022,70,3,1,Fri handel
Carl Lunds Vej 55B,5000 Odense C,4300000.0,2022,48,2,1,Fri handel
Billeshavevej 35B,"Korup, 5210 Odense NV",1495000.0,2022,85,4,1,Fri handel
Carl Lunds Vej 55C,5000 Odense C,4300000.0,2022,60,3,1,Fri handel
Faaborgvej 28C,"Dalum, 5250 Odense SV",3095000.0,2022,100,3,1,Fri handel
"Krügersvej 27, 2.",5000 Odense C,4700000.0,2022,47,2,1,Fri handel
"Nyborgvej 1F, 1. tv.",5000 Odense C,1210000.0,2022,47,2,1,Fri handel
"Vestre Stationsvej 18, 1.",5000 Odense C,5600000.0,2022,88,3,1,Fri handel
"Vestre Stationsvej 18, st.",5000 Odense C,5600000.0,2022,91,3,1,Fri handel
"Krügersvej 27, st.",5000 Odense C,4700000.0,2022,75,4,1,Fri handel
"Ejby Møllevej 17, st.",5000 Odense C,4400000.0,2022,70,2,1,Fri handel
Gyldenhøjen 23,"Stenløse, 5260 Odense S",4750000.0,2022,188,4,2,Fri handel
Dragebakken 181,"Sanderum, 5250 Odense SV",1725000.0,2022,85,4,1,Fri handel
Blangstedgårdsvej 119,5220 Odense SØ,4398000.0,2022,208,6,1,Fri handel
Hedelundvej 14,"Stige, 5270 Odense N",750000.0,2022,160,5,2,Fri handel
"Filosofgangen 60, 2. th.",5000 Odense C,2925000.0,2022,92,3,1,Fri handel
Tassovænget 2,"Hjallese, 5260 Odense S",1600000.0,2022,114,4,1,Fri handel
Steinsgade 1R,5000 Odense C,1395000.0,2022,54,1,1,Fri handel
"Mageløs 10, 2. th.",5000 Odense C,1940700.0,2022,129,4,1,Fri handel
Ny Kongevej 43,5000 Odense C,7500000.0,2022,236,6,2,Fri handel
Morbærvænget 4,"Bellinge, 5250 Odense SV",2200000.0,2022,178,7,2,Fri handel
Ved Bækken 2A,"Bullerup, 5320 Agedrup",1750000.0,2022,124,4,1,Fri handel
Jernbanevej 30,"Tarup, 5210 Odense NV",4850000.0,2022,157,6,2,Fri handel
Morelvej 12,"Sanderum, 5250 Odense SV",1770000.0,2022,86,4,1,Fri handel
Dalum Møllervej 18,"Dalum, 5250 Odense SV",2595000.0,2022,110,4,2,Fri handel
Dragebakken 271,"Sanderum, 5250 Odense SV",3299000.0,2022,152,5,2,Fri handel
Muslingevej 4,"Seden, 5240 Odense NØ",3200000.0,2022,113,5,1,Fri handel
Rulkehøjen 11,"Hjallese, 5260 Odense S",1865000.0,2022,113,4,2,Fri handel
Præstevej 7,"Korup, 5210 Odense NV",1900000.0,2022,135,5,2,Fri handel
Zahrtmannsvej 7,5230 Odense M,2650000.0,2022,101,5,2,Fri handel
"Rugårdsvej 63, 1.",5000 Odense C,2110000.0,2022,96,3,1,Fri handel
Hedelundhegnet 23,"Stige, 5270 Odense N",4395000.0,2022,183,7,2,Fri handel
Vissenbjergvej 8,5230 Odense M,4137500.0,2022,130,4,2,Fri handel
Brolandvej 101D,"Agedrup, 5320 Agedrup",1800000.0,2022,142,7,2,Fri handel
"Kochsgade 39, st.",5000 Odense C,3500000.0,2022,81,3,1,Fri handel
